vendornumber,vendorname,total_purchase_dollars,total_purchase_quantity,purchase_orders,avg_purchase_price,total_sales_dollars,total_sales_quantity,avg_sales_price,gross_profit,profit_margin_pct,total_freight,adjusted_profit,adjusted_margin_pct
3960,DIAGEO NORTH AMERICA INC,50959796.85,5459788,55,16.11,68742416.99,5422703,17.49,17782620.14,25.87,257032.07,17525588.07,25.49
4425,MARTIGNETTI COMPANIES,27861690.02,2640411,82,11.08,41047306.3,2581318,17.09,13185616.28,32.12,144929.24,13040687.04,31.77
17035,PERNOD RICARD USA,24124091.56,1647558,55,18.61,32281247.95,1613460,21.24,8157156.39,25.27,123780.22,8033376.17,24.89
12546,JIM BEAM BRANDS COMPANY,24203151.05,2737165,55,12.88,31906320.54,2630226,14.7,7703169.49,24.14,123880.97,7579288.52,23.75
480,BACARDI USA INC,17624378.72,1427075,55,14.26,25014556.89,1457301,16.5,7390178.17,29.54,89286.27,7300891.9,29.19
1392,CONSTELLATION BRANDS INC,15573917.9,2325892,55,7.1,24469172.93,2301688,11.18,8895255.03,36.35,79528.99,8815726.04,36.03
3252,E & J GALLO WINERY,12289608.09,1858260,55,7.26,18556085.61,1809023,11.06,6266477.52,33.77,61966.91,6204510.61,33.44
1128,BROWN-FORMAN CORP,13529433.08,1006122,55,18.3,18478557.47,983853,20.3,4949124.39,26.78,68601.68,4880522.71,26.41
9165,ULTRA BEVERAGE COMPANY LLP,13210613.93,1077527,55,15.81,17822938.45,1043235,19.18,4612324.52,25.88,68054.7,4544269.82,25.5
9552,M S WALKER INC,10935817.3,1372841,55,8.68,15465247.75,1343481,12.57,4529430.45,29.29,55551.82,4473878.63,28.93
8112,MOET HENNESSY USA INC,9472995.2,427867,55,29.69,13546931.06,424251,33.71,4073935.86,30.07,48347.26,4025588.6,29.72
8004,SAZERAC CO INC,9916770.26,1417727,55,10.05,13250928.19,1385046,12.53,3334157.93,25.16,50293.62,3283864.31,24.78
7245,PROXIMO SPIRITS INC.,7588029.9,682042,55,13.61,10516246.86,667654,17.08,2928216.96,27.84,38994.78,2889222.18,27.47
9815,WINE GROUP INC,5258636.79,888385,55,7.19,8341165.72,869054,10.56,3082528.93,36.96,27100.41,3055428.52,36.63
10754,PERFECTA WINES,5665501.53,553116,55,12.38,7825504.16,512750,16.7,2160002.63,27.6,28720.52,2131282.11,27.24
3664,WILLIAM GRANT & SONS INC,5960744.35,302685,55,25.69,7635828.27,283313,31.4,1675083.92,21.94,30234.42,1644849.5,21.54
2000,SOUTHERN WINE & SPIRITS NE,3699813.46,402677,55,10.15,5769934.33,400984,15.04,2070120.87,35.88,19016.59,2051104.28,35.55
2000,SOUTHERN GLAZERS W&S OF NE,40803.92,4198,12,15.43,5769934.33,400984,15.04,5729130.41,99.29,19016.59,5710113.82,98.96
11567,CAMPARI AMERICA,4141720.71,501284,55,15.61,5610527.44,490456,17.48,1468806.73,26.18,20964.81,1447841.92,25.81
10000,MAJESTIC FINE WINES,3506668.63,446119,55,8.23,5375429.09,433515,13.73,1868760.46,34.76,17587.59,1851172.87,34.44
660,SAZERAC NORTH AMERICA INC.,3537977.55,503931,55,7.69,4965061.47,493413,10.62,1427083.92,28.74,17932.33,1409151.59,28.38
8673,STE MICHELLE WINE ESTATES,3086650.7,419822,55,7.77,4903385.9,418674,12.52,1816735.2,37.05,15919.7,1800815.5,36.73
9819,TREASURY WINE ESTATES,2978686.4,497770,55,6.1,4740218.38,495308,10.33,1761531.98,37.16,14836.57,1746695.41,36.85
8664,"STOLI GROUP,(USA) LLC",3666478.72,314035,55,16.86,4663847.6,272010,17.58,997368.88,21.39,18544.49,978824.39,20.99
7153,PINE STATE TRADING CO,3129071.59,424427,55,9.45,4647517.08,416859,12.51,1518445.49,32.67,15884.82,1502560.67,32.33
7239,REMY COINTREAU USA INC,3354958.28,142363,55,30.57,4294875.05,135195,32.13,939916.77,21.88,16978.67,922938.1,21.49
